ItemID,Rating,Spot_pk,Timestamp,UserID,review
영주풍기인삼축제,1,1334,2019.10.14.,v53brb,"이번에 다녀왔는데 축제인데도 볼거리가 없고 체계가 안잡혀있어서 실망했습니다. 바닥에 뭘 깔아놓지도 않아서 사람들이 걸을때마다 바닥에서 흙먼지가 올라오고 그게 진열해놓은 인삼, 각종 식품들에 그대로 묻을게 뻔히 보여서 비위생적으로 느껴졌고요.. 전반적으로 축제가 아니라 시장같은 분위기였습니다."
영주풍기인삼축제,5,1334,2019.10.10.,mskua3,영주 풍기의 최고의 축제입니다. 근처 소백산자락길도 방문하고 소백산자락길방문자센터에서 저렴하게 숙박도 가능합니다~
고한 함백산야생화축제,5,1335,2021.06.12.,1evbv6t,
고한 함백산야생화축제,4,1335,2018.11.11.,o32059,
용인자연휴양림,5,1340,2021.08.21.,7r9fur,굿
용인자연휴양림,5,1340,2021.07.25.,r73268,짚와이어 코스가 6개나 되고 직원분들도 밝고 친절하시고 만족스러웠습니다!
용인자연휴양림,5,1340,2021.05.09.,1jegu7b,
용인자연휴양림,5,1340,2021.04.05.,13uthq0,
용인자연휴양림,5,1340,2021.02.20.,1042bsg,
용인자연휴양림,4,1340,2020.09.04.,a107h8,
용인자연휴양림,4,1340,2020.08.03.,dtphe0,
용인자연휴양림,1,1340,2020.06.14.,ga8s8q,"입장료 비싸고, 산책길도 별로임."
용인자연휴양림,3,1340,2020.06.06.,tl2slb,
용인자연휴양림,3,1340,2020.05.21.,easaf1,깨끗한 편이고 가격도 저렴하고 2시간 정도 걷기 좋음
용인자연휴양림,1,1340,2020.05.08.,lf2b7a,
용인자연휴양림,3,1340,2019.09.12.,7pvvce,봄가을엔 볼만할듯 여름엔 별로에요
해오름관광농원,3,1341,2020.05.08.,kr9tr7,호불호가 갈릴듯한 캠핑장이에요 석양이 아름답지만 해변이 지저분하고  바로바다앞 캠핑가능한곳이에요  해변엔 바다 폐기물들이 정말 많고 어린아이들이 놀만한바다는 아니에요  뻘속에 들어갔다가 발바닥 다 찢어짐요 장화신고 가면되죠  장화는 뻘에빠지면 정말 답없습니다  혹시 꼭 가보고싶으심 아쿠아슈즈 가 가장 좋지만 1회용이될수있겟네요  이것저것 재제없이 편하긴했습...
장천마을휴양지,1,1355,2018.07.24.,kebtd5,별1점도아깝습니다.발에물만담그고바로갈건데2만원이라네요.그냥돈 아까워서 안한다고하고 다른데갔습니다. 소금강계곡이 공사중이어서 어쩔수없이 여기왔는데ㅡㅡ
덕산기계곡,5,1358,2019.10.09.,bemthl,ㅡ
덕산기계곡,5,1358,2019.04.23.,r7f7v9,자연휴식년제로 계곡 출금지 입니다  계곡은 참 좋은대요 멀리 서울서 왔는대 입구에서  눈으로만보고 가내요 출입 불가입니다  입구부터 주민 할머니들께서  철통 경계 근무 하시더라고요 외지인들이  버리고 가는 양심 때문 이겠죠
덕산기계곡,3,1358,2017.08.03.,101enmo,석회암 돌때문에 물이 계곡인데도 에메랄드 빛이에요 수량 많을때 가시는걸 추천
덕산기계곡,5,1358,2016.03.11.,7killg,트래킹하기 좋다. 초입은 포장공사 중.
공곶이,5,1363,2021.05.23.,11tc8j2,공곶이 앞바다 최고의 절경입니다.
공곶이,1,1363,2021.05.20.,av98il,그닥...
공곶이,1,1363,2021.03.27.,11hmjgl,여기가 왜 8경인가요. 힘들어 죽는줄!!!!!! 도가니 나가기 딱 좋은 곳. 등산 좋아하면 가세요.
공곶이,1,1363,2020.08.29.,h6q6md,아무것도 없음
공곶이,2,1363,2020.08.02.,19rhbe5,수선화 시즌이 아니면 갈 필요 없는 곳  올라가는 길이 매우 힘듦  특히 한여름에 올라가기 너무 힘들다  힘든것에 비해 풍경은 그냥 그럼  오히려 내려오는 길 (마을 방향)에 있는 바다 풍경이 더 좋앗음 
공곶이,5,1363,2020.04.24.,1488r7u,경치좋음
공곶이,1,1363,2020.03.28.,fut5q4,반려견과 함께 한참 산을 타서 겨우겨우 들어갔더니 해변 직전의 오두막 카페 같은 곳에서 아저씨들이 갑자기 막아선다. 개는 출입이 안된단다. 험한 길 들어오면서 놀고 돌아오는 개 여러마리 봤는데 갑자기 나한테 안된다고 하니 너무 당황했고 몇십분 돌길 타고 온 것 너무 억울해서 왜 초입에 명시 안하셨냐고 여쭸더니 대뜸 반말하며 안된다면 안되는거지 뭔 말이 많냐...
공곶이,4,1363,2020.03.28.,n07usq,
공곶이,5,1363,2020.03.26.,kafs6l,
공곶이,1,1363,2020.03.23.,kguggf,
공곶이,2,1363,2020.03.15.,vf4jlq,너무 힘들었어요. 나들이가 아니라 등반이에요. 굳이 여기 안가도 거제엔 좋은 곳이 너무 많아요.
공곶이,2,1363,2020.02.08.,db3fjo,"지난주 티비 나왔는데, 4월 꽃 필때나 가면 모를까 비추합니다. 특히 초등 저학년 이하 아이들과는 절대 가지 마세요. 힘든 코스"
공곶이,1,1363,2019.08.26.,10aoeut,절대 가지 말아야 할곳. 길도 험하고 볼것도 없습니다. 거제도 최악
공곶이,1,1363,2019.06.24.,gduskc,산을 올라갔다 볼 것이 없다 산 반대편으로 내려갔다 좁고 긴 계단으로 계속 내려갔다 땀이 난다 오두막 같은 상점이 보인다 손수건을 판매한다 다시 돌아 가려니 욕 나온다
공곶이,3,1363,2019.04.06.,fj1q3g,"산등성 넘어 30분정도 올라갔다 내려가야는데, 투자대비 볼게 없어 실망했어요.."
공곶이,1,1363,2018.05.02.,bdno2p,수선화/동백이 있을때는 어떤지 모르겠지만 4/30일 아무것도 없는 날 가기에는 동행에게 쌍욕 먹는 코스.. 급경사 너무 심해요..ㅠ
공곶이,5,1363,2018.03.17.,beufdi,돌뿌리 돌계단 좁은 길 등으로 길이 많이 험합니다. 아이들 넘어지는 거 두 번이나 봤어요. 조심하세요
공곶이,5,1363,2017.05.06.,10i878v,걷기 좋은 숲길과 깨끗한 몽돌해변길..
공곶이,4,1363,2016.11.30.,11j95hn,거제 8경중 한 곳 3~4월에 수선화가 좋음
공곶이,3,1363,2016.04.11.,10hvf0i,"공곶이.. 영화 종려나무숲 촬영지. 동백꽃, 수선화..피고서 진 꽃을 봐서인지 아쉬움. 내려가선 넓디 넓은 바다,  저 가까이 내도가 보이고.. 아쉬움에 수선화 사다가 화단에 심었어요.. "
공곶이,3,1363,2016.03.13.,7l477d,
황령산 봉수대,5,1366,2021.06.27.,n2bt5f,예퍼여 
황령산 봉수대,5,1366,2021.05.25.,7mtif8,황령산 봉수대 영상 보고 가세요  https://youtu.be/5kbP2br8TMM https://youtu.be/DoVJ4PhWye8
황령산 봉수대,5,1366,2021.05.13.,1et5phl,
황령산 봉수대,5,1366,2021.04.03.,betcln,
황령산 봉수대,5,1366,2021.03.07.,flo84v,
황령산 봉수대,5,1366,2020.09.14.,90g4o7,
황령산 봉수대,4,1366,2020.09.06.,90mq7l,
황령산 봉수대,5,1366,2020.08.30.,1bk4lom,
황령산 봉수대,5,1366,2020.05.08.,7kmtjf,차타고 올라가는 부산야경명소
황령산 봉수대,5,1366,2020.01.24.,trbv6u,"자동차로 가도 한참을 올라가야하는데, 연제1번 마을버스에서 내린 후 산 입구에서부터 30분 등산... 경사가 험하지만, 도착할 때 석양이 너무 좋아서 고생한 보람이 있었음!! 진짜 내려가기 싫어질 정도로~ 여긴 진짜 부산 명소 인정!!"
황령산 봉수대,5,1366,2020.01.01.,gi3knh,
황령산 봉수대,5,1366,2019.05.31.,1038bsp,친구가 데려다 준 곳. 아름다운 부산 야경을 볼 수 있어서 좋았습니다.
황령산 봉수대,5,1366,2019.01.25.,bu70f3,부산 명소가 다 보이는 야경
황령산 봉수대,5,1366,2018.08.04.,qk92d1,
황령산 봉수대,5,1366,2018.06.09.,bkmq24,
황령산 봉수대,5,1366,2018.05.06.,mukr34,주차장에서 분터 올라가도 편안하고 야경멋져요
황령산 봉수대,5,1366,2018.03.26.,egqso2,애인이 있는지 없는지 먼저 파악하고 솟았어야 되는거 아니냐 황령산아!?    
황령산 봉수대,4,1366,2017.12.25.,10k2j6v,The Best Panoramic View
황령산 봉수대,5,1366,2016.12.19.,bfnv4m,
황령산 봉수대,5,1366,2016.08.08.,10jpjio,소중한 사람이 떠오르는 세상에서 가장 아름다운 야경...♥
황령산 봉수대,3,1366,2016.03.26.,7l477d,
메타세쿼이아 가로수길,4,1372,2021.09.04.,fkm6ic,무조건 또 올거예요!^^
메타세쿼이아 가로수길,5,1372,2021.08.12.,14lov8m,
메타세쿼이아 가로수길,3,1372,2021.07.30.,16kk2c1,Many places were closed but it was still beautiful.
메타세쿼이아 가로수길,1,1372,2021.07.20.,1c60qte,정말 별 볼일 없음. 이걸 돈을 받는다고? 캐나다가면 한걸음마다 2천원이겠네? ㅋㅋㅋㅋㅋㅋ 돈을 떠나서 여기와서 최고다 라고 하는사람들 보면 진짜 불쌍한거임;; 고작 이걸로 별 5개 줄 정도면  그동안 어떤삶을 살아온거야? 별 1개짜리 삶을 살아온건가?
메타세쿼이아 가로수길,5,1372,2021.07.01.,b3fq3k,남도 최고의 스팟 중 하나입니다. . 아 그리고 2천원도 낼 돈 없는 ♩♪♬♬들은 느그집 뒷산이나 다녀오세요ㅋㅋ
메타세쿼이아 가로수길,5,1372,2021.07.01.,1je0sq5,
메타세쿼이아 가로수길,1,1372,2021.06.20.,tvfhov,대법원에서 승소했다고 끝까지 돈받는 지자체 고집오짐
메타세쿼이아 가로수길,1,1372,2021.06.18.,1ehcgiq,이걸 왜 돈을 받죠??   솔직히 2천원 큰돈은 아닌데 여기가려고 내면 너무 아깝네요 관리도 안되있고 바로옆 로즈카페는 어디로 들어왓냐고 따지기나 하고 바로옆에 문열려잇어서 들어가서 도둑취급하면서 쳐다보는데 너무 끔찍했네요 절대가지마세요 죽녹원 거기가 훨씬 돈 안아깝고 좋아요
메타세쿼이아 가로수길,5,1372,2021.05.26.,1g4318d,초록초록하니 너무 이뻣음 사진찍기 좋고 공기도 좋아여 입장료가 있어요 
메타세쿼이아 가로수길,5,1372,2021.05.05.,10u6bm0,
메타세쿼이아 가로수길,1,1372,2021.05.01.,saov0t,돈안받던구간도 다 입장료내야되고  언제부터 입장료징수 했냐고 물어보니  엄청 불친절 잘먹고 잘살아라  옛날 짧은구간 프로방스앞에도 입장권사와야됩니다 다 돈돈돈이에요  바로앞 프로방스 가세요 
메타세쿼이아 가로수길,3,1372,2021.04.17.,1ils1le,그저 그렀습니다
메타세쿼이아 가로수길,1,1372,2021.03.27.,1c4udk9,왜 돈받아요?
메타세쿼이아 가로수길,1,1372,2021.01.06.,gq34ei,겨울엔 황량해요
메타세쿼이아 가로수길,1,1372,2020.12.13.,ci2ukq,유료에요.(길목마다 점검소가 존재)
메타세쿼이아 가로수길,4,1372,2020.11.28.,181q3at,좀더 잎이 울창할 때 와보고싶다 사진에 보이는 길이 거의 다라고 보면 됨
메타세쿼이아 가로수길,5,1372,2020.11.16.,ufia7t,
메타세쿼이아 가로수길,4,1372,2020.11.07.,8tjog4,좋아욤!
메타세쿼이아 가로수길,3,1372,2020.11.04.,tnqvfp,
메타세쿼이아 가로수길,1,1372,2020.10.25.,l4t56c,2천원내기 아까워서 사진만찍고 패스~~
메타세쿼이아 가로수길,4,1372,2020.10.02.,mo9ffb,한적할때 가야 좋음
메타세쿼이아 가로수길,5,1372,2020.09.28.,8rimt9,1박2일
메타세쿼이아 가로수길,5,1372,2020.09.19.,102pgh8,타 관광지 가서 이만큼 관리하는 곳 찾기 어려움 힐링하로 가는 곳임..특별한 경험을 바란다면 비추
메타세쿼이아 가로수길,5,1372,2020.09.15.,ahr1ms,
메타세쿼이아 가로수길,4,1372,2020.08.26.,n43hfv,"무료일 때 가보고 돈내고도 가봤는데, 확실히 더 관리가 되고있다는 느낌을 받았어요. 그냥 산책하는 공원이라 생각하고 가볍게 가면 좋을 것 같아요."
메타세쿼이아 가로수길,1,1372,2020.08.25.,10ac7s9,이거 볼라고 설에서 갔지만 시간 던아까워 다시는 안감
메타세쿼이아 가로수길,5,1372,2020.08.19.,115n99l,좋아요! 앞부분에서만 있어도 좋더라구요 ㅎㅎ
메타세쿼이아 가로수길,5,1372,2020.07.30.,9tnug5,한적하게 여유를 즐길수 있어 좋았어요.
메타세쿼이아 가로수길,2,1372,2020.07.29.,s98muc,
메타세쿼이아 가로수길,1,1372,2020.06.18.,,대법원에서 이겨서 좋겠다..ㅉㅉ 어리석은 시골 넘들.. 길이라는 건 막는게 아니다. 길은 열고 소통하는 것이다. 그것이 사람을 오게 만드는것이다. 길막고 돈 받아서 대박 날것 같지.. 쪽박이다 이 넘들아
메타세쿼이아 가로수길,2,1372,2020.05.17.,8tkdhm,좋은데.. 돈 내고 걸을 만큼은 아님;; 메타세콰이어길 자체가 희소성이 많이 떨어진지라..
메타세쿼이아 가로수길,4,1372,2020.05.09.,qqirmj,가로수가 좋긴한데 자갈이  많아서 걷기 생각보다 불편
메타세쿼이아 가로수길,1,1372,2020.05.03.,lod6j4,
메타세쿼이아 가로수길,1,1372,2020.04.29.,7kmtjf,공짜때 가다오길 잘햇네
메타세쿼이아 가로수길,1,1372,2020.04.13.,btm5qv,입파리도 안올라왔는데 돈 걷을려고 눈에 불을켜고 지키고있더라..  이건좀 아니지않냐??? 재수없다.
메타세쿼이아 가로수길,1,1372,2020.02.22.,v1urmv,가로수길을 돈내고 보랜다  담양 자체가 싫어진다
메타세쿼이아 가로수길,4,1372,2019.12.21.,11kjp9f,시원한느낌 치유숲
메타세쿼이아 가로수길,3,1372,2019.11.10.,mtl9ng,
