ItemID,Rating,Spot_pk,Timestamp,UserID,review
호국전진사,4,1,2020.01.21.,15lk2ck,
용마루길,5,3,2021.08.10.,g6kl0d,
용마루길,3,3,2019.02.22.,e9e5k4,
불승사,5,6,2021.04.16.,11c27np,
태현사,5,10,2021.05.16.,ma79f8,조용하고 잔잔해서 강아지 산책할 때마다 종종 들립니다
태현사,5,10,2020.04.05.,v7ct7p,
승림식물원,5,11,2021.05.15.,eps30v,나만 알고 싶은 곳
승림식물원,5,11,2021.05.15.,13tnbc3,"일하시는분 친절하고, 생각보다 구경할 거 많아요. 과자도 주시고 커피도 타먹을 수 있고 동물들 밥주기까지 대형 트램폴린에 아이랑 잘 놀았어요."
알뜨르비행장,5,12,2021.09.15.,bgimpu,그냥 방치하지 말고 컨텐츠화하던지 아니면 이슈많은 제주2공항을 하던지 넓은 들판이 아까움
알뜨르비행장,5,12,2021.08.22.,14ns9pt,
알뜨르비행장,5,12,2021.06.21.,egqso2,우리의 아픈 역사가 있는곳  관리가 좀 안되어있는데 가볼만 합니다
알뜨르비행장,5,12,2021.05.25.,187o516,역사를 알 수 있는 곳.. 주변에 민가가 거의 없고 왜 논밭이 많은지 알수있는곳! 
알뜨르비행장,5,12,2021.05.07.,mvothr,제주도에서 인스타용 관광지 맛집만 가지말고 역사도 느낄수 있는 장소에 다녀오길
알뜨르비행장,5,12,2021.04.20.,1f4pdig,제주도에 있는 일본 만행의 흔적. 난징대학살의 배후거점. 기억해야 할 가슴아픈 역사.
알뜨르비행장,5,12,2021.04.09.,h6j23d,잘 보다 갑니다 일본인의 만행을 보고 ㅂㄷㅂㄷ 하면서 한번 더 생각해봅니다
알뜨르비행장,5,12,2021.04.01.,1gnd4b6,제주에 이런 곳이 있었나 싶다. 바닷가에 이리 넓은 들판이 있고 그 들판이 군국주의 일본의 마지막 싸움 준비터였다니  ㅉㅉ
알뜨르비행장,5,12,2021.03.29.,llatnp,너무나도 평화로워서 슬펐습니다
알뜨르비행장,5,12,2021.03.18.,1e83mio,역사는 보존해야합니다
알뜨르비행장,5,12,2021.01.31.,bepshd,슬픈 역사의 현장입니다
알뜨르비행장,5,12,2021.01.03.,1eda4cs,제주 2공항을 이곳에 지으면 어떨지 이곳은 공군부지로 알고 있는대...
알뜨르비행장,2,12,2020.11.07.,125lt8n,
알뜨르비행장,5,12,2020.10.31.,rliphf,일본스러운 만행의 흔적.. 
알뜨르비행장,1,12,2020.10.20.,8tkdhm,제주에 이런 곳이 있는지 몰랐다.. 날이 추웠던 11~12월 단 2개월간 이 많은 격납고를 선량한 제주민간인들을 이용해 강제로 건설하고 제정신이 아닌 자살특공대(카미카제) 비행선을 숨겨둔 일제는 영원히 지구상에서 사라져야 할 민족이다 
알뜨르비행장,5,12,2020.05.03.,flmedc,아픈 역사를꼭 기억하기를
알뜨르비행장,5,12,2020.04.25.,k4pia0,
알뜨르비행장,5,12,2020.03.21.,a55tjj,
알뜨르비행장,5,12,2019.12.05.,u9iqso,난징학살 일본비행기가 이륙했던곳
알뜨르비행장,5,12,2019.09.25.,bgrbd6,"아픈 역사 ㅜㅜ 내비 찍고 오시려면 환태평양평화소공원으로 오셔야 함. 처음 길못찼던 1인. 비행장 찍으면 관제탑만 보시고요,,, 연결로 없음 대략 난감. 평화소공원ㅉㅎㄱ으로 오셔요"
알뜨르비행장,5,12,2019.09.07.,fd22bj,아픈 역사.  관리가 좀 안되서 아쉽네요. 그리고 제발 쓰레기 좀 버리지 마시길... 주변에 관광객 쓰레기가 많이 보였습니다. 아무 곳이나 버릴꺼면 집에나 쳐박혀 있어주세요.
진도 신비의바닷길축제,5,14,2019.02.10.,e1a42i,
진도 신비의바닷길축제,3,14,2016.03.13.,7l477d,
강진청자축제,3,25,2018.07.29.,e9e5k4,볼 게 별로 없는 듯
담양대나무축제,4,27,2018.11.11.,o32059,
담양대나무축제,4,28,2018.11.11.,o32059,
담양대나무축제,4,29,2018.11.11.,o32059,
담양대나무축제,4,30,2018.11.11.,o32059,
대원사회복지회,5,38,2021.03.03.,1eobrni,
흥타령 콜,5,39,2020.09.22.,11et3ji,빠름... 진짜 자주 이용하는 업체에요
흥타령 콜,5,39,2020.03.09.,v71p7q,
흥타령 콜,5,43,2020.09.22.,11et3ji,빠름... 진짜 자주 이용하는 업체에요
흥타령 콜,5,43,2020.03.09.,v71p7q,
흥타령 콜,5,44,2020.09.22.,11et3ji,빠름... 진짜 자주 이용하는 업체에요
흥타령 콜,5,44,2020.03.09.,v71p7q,
구례산수유꽃축제,5,55,2021.03.24.,ucqcl4,여기에서 지도 오른쪽을 보면  하위마을 상위마을이 있습니다 거기로 가야해용 ㅎㅎ 이 장소에는 산수유식품관..? 같은게 있고 마을에 산수유가 많은걸 보려면 저 하위마을 상위마을로 들어가야합니다~!  상위마을에 가면 계곡쪽으로 길이 쭉 나있어요 그 길을 걸으면 예뻐요! ㅎㅎ 마을 안에도 예쁘고 ㅎㅎ (3월22일 기준 꽃 그래도 꽤 있습니당)
구례산수유꽃축제,5,55,2019.08.09.,qkptsp,버스가 있어서 어르신 모시고 꽃구경하기 편해요.
구례산수유꽃축제,4,55,2019.03.21.,f56n1s,"지리산이 둘러쌓인 구례 산수유가 펼쳐진 광경이 좋았으나...ㅎ  어디가나 축제장은 진출입,주차가 문제군요... 넓디넓은 구례에서도 주청차의 어려움을 느끼다니...ㅎ 반나절은 구석구석 다니면서 즐겨야되는 넓이인데  진입로에서 힘 다빠짐...ㅋ  풍경은 정말 좋았습니다."
구례산수유꽃축제,4,55,2019.03.19.,mr91e6,꽃도 많고 사람도 많고 하지만... 1시간 이상 머물며 즐긴만한 콘텐츠는 없는 거 같네요. 
구례산수유꽃축제,5,55,2019.03.14.,skbqh1,
구례산수유꽃축제,5,55,2018.03.28.,e6ta7m,
구례산수유꽃축제,4,55,2018.03.10.,k4e3bs,
구례산수유꽃축제,1,55,2018.03.07.,gcc5no,
구례산수유꽃축제,5,55,2018.03.07.,g17210,
금산축제관광재단,5,56,2018.10.08.,rr1104,
꺼먹다리,3,65,2021.04.25.,13jo0qu,현재 공사중~출입금지
꺼먹다리,5,65,2021.01.26.,100rl4h,정말 멋진곳입니다. 
진주남강유등축제,5,70,2020.03.04.,fl3hor,
진주남강유등축제,4,70,2018.10.10.,qoisfa,
진주남강유등축제,5,70,2018.10.05.,n0ij5l,지역 축제중이 제일 괜찮았어요 
진주남강유등축제,1,70,2018.10.05.,n3b4dn,유료되고나서 별로
진주남강유등축제,5,70,2016.03.26.,qq3tlr,진주 유등축제 가보자
진주남강유등축제,3,70,2016.03.13.,7l477d,
진주남강유등축제,4,70,2016.03.11.,7pefkb,진주유등축제 예술입니다.
청풍호유람선,4,72,2021.08.23.,rbj55f,
청풍호유람선,4,72,2021.08.21.,7kmtjf,직원분은 친절하고 예약하기 좋으나 배가 작고 좀 낡엇세여 단양팔경이 너무 멀리 잇으요
청풍호유람선,5,72,2021.08.10.,14gpfnv,남자 사장님?이 극도로 친절하세요 전화안내 이렇게 친절한 곳은 참 드문거 같아요 1시간 반이라 좀 길다고 느껴질 수 있는데 참 픙경 끝내줘요
청풍호유람선,5,72,2020.10.01.,v2i8bc,"배는 세월의 흔적이 있을 뿐  그 배 위에 올라 바라본 제천  그리고 배에 올라선 경험 모두 추석처럼 풍성했습니다.  돈이 하나도 안 아까웠고,  이런 자연이 우리 대한민국 풍경이라는게.. 한국이라는게 믿겨지지 않을 정도로.. 너무나 멋졌습니다. 진심으로 대박이였습니다.  그리고,  선장님 그리고 배를 몰기 위해 애써주시던 선원(?)분들 그리고 안내 방송 ..."
청풍호유람선,5,72,2019.11.04.,mq0arq,"사장님 대박 친절하시고, 옥순봉. 구담봉 경치가 끝내줍니다."
청풍호유람선,3,72,2019.05.19.,o5qr9s,청풍호 유람.
청풍호유람선,5,72,2019.05.12.,kb5ok0,2층 작은 유람선 타고 선장님의 관광지 설명을 들으며 총 1시간 40분을 경유해서 오는 코스에요 코스는 2코스가 있는데 1코스가 가뭄이 나서 물이 얕아서 못들어가게되면 2코스(1시간)으로 대체한대요. 지금은 꽃가루가 매우 날려서 눈이랑 코가 좀 불편해요 ㅜㅜ 2층에 앉아서 가면 멋있는 경치와 쨍쨍한 햇빛을 느낄 수 있어요 지금 가시는 분들은 선글라스랑 모자...
효석문화마을,3,73,2019.09.21.,9bs86c,
효석문화마을,3,73,2019.09.15.,lr2e46,축제라서 그런가 사람이 너무많고 매밀꽃밭은 관리가 잘안되서 사람들한테 엄청 밟혀죽고 주차도 힘들었네요
효석문화마을,4,73,2019.09.07.,o32059,
비선대,5,76,2021.08.18.,93hlue,공룡능선의 시작점~... 주변 경관이 혀를 내두를정도로 기가막힙니다~ 공룡능선 등반하신다면 마들령으로 해서 천불동으로 내려오는걸 추천합니다~ 천불동 계곡이 너무 멋있어서 힘든것도 잊게 해 줍니다~^^
비선대,5,76,2021.07.20.,11p756v,
비선대,5,76,2021.03.07.,fkfqi4,"설악산에서 쉬운 코스. 맑은 물, 절경"
비선대,5,76,2020.11.15.,tmfdjo,길도 쉽고 경치는 최고고 짱
비선대,5,76,2020.08.29.,dcsmv8,주차장(설악케이블카 부근)에서 약 3km이고 비선대까지는 쭉 평지 산책로입니다. 부담없이 산책하기 좋네요.
비선대,5,76,2020.04.22.,91a8c3,"가벼운 발걸음, 가벼운 복장으로 설악의 기운과 향기를 느낄 수 있던 비선대!!"
비선대,5,76,2020.03.18.,m0k6gg,평탄하게 산책 삼아 걷기에 좋은 코스 !  그래서 비선대만 간다는게 함정 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
비선대,5,76,2019.04.27.,vuhbih,비선대 자체도 좋지만 삼형제봉이나 금강굴 가는 다리에서 보이는 대청봉 자락의 경치는 감탄을 금할 수 없었다.
비선대,4,76,2017.08.20.,101enmo,
영주풍기인삼축제,1,77,2019.10.14.,v53brb,"이번에 다녀왔는데 축제인데도 볼거리가 없고 체계가 안잡혀있어서 실망했습니다. 바닥에 뭘 깔아놓지도 않아서 사람들이 걸을때마다 바닥에서 흙먼지가 올라오고 그게 진열해놓은 인삼, 각종 식품들에 그대로 묻을게 뻔히 보여서 비위생적으로 느껴졌고요.. 전반적으로 축제가 아니라 시장같은 분위기였습니다."
영주풍기인삼축제,5,77,2019.10.10.,mskua3,영주 풍기의 최고의 축제입니다. 근처 소백산자락길도 방문하고 소백산자락길방문자센터에서 저렴하게 숙박도 가능합니다~
청도소싸움축제,5,83,2019.12.26.,14tnpsb,
대관령,5,86,2021.03.28.,1hh8lfi,
대관령,5,86,2020.09.26.,14pakuu,
대관령,4,86,2020.08.03.,af3ghl,
태백산눈축제,4,90,2020.01.18.,7ma7u9,"겨울답지 않게  기온이 높고, 눈도 적은 올 겨울. 다행히 새벽부터 내린 눈은  오후되니 서서히 녹았다. 겨울축제 준비하는 지역의  노고와 노력에 감사하며."
태백산눈축제,5,90,2019.01.20.,c48emc,대학생들이 인공눈으로 조각상을 만들었네요.일찍 가야 차량을 축제장까지 들어 갈 수가 있어요.조금 늦으면 초입에다 주차하고 셔틀버스타고 가야  합니다.걸어서는 축제장까지 20~30분 정도 걸린다고 하네요.셔틀버스은 2~3분마다 운행하고 있네요.관광객이 너무나 많아요.먹거리와 즐길거리가 있어서 좋아요.주차창도 여러군데가 있어요.
태백산눈축제,4,92,2020.01.18.,7ma7u9,"겨울답지 않게  기온이 높고, 눈도 적은 올 겨울. 다행히 새벽부터 내린 눈은  오후되니 서서히 녹았다. 겨울축제 준비하는 지역의  노고와 노력에 감사하며."
태백산눈축제,5,92,2019.01.20.,c48emc,대학생들이 인공눈으로 조각상을 만들었네요.일찍 가야 차량을 축제장까지 들어 갈 수가 있어요.조금 늦으면 초입에다 주차하고 셔틀버스타고 가야  합니다.걸어서는 축제장까지 20~30분 정도 걸린다고 하네요.셔틀버스은 2~3분마다 운행하고 있네요.관광객이 너무나 많아요.먹거리와 즐길거리가 있어서 좋아요.주차창도 여러군데가 있어요.
새천년해안도로,4,93,2021.08.04.,uo90fq,
새천년해안도로,5,93,2020.12.17.,7kmtjf,라이딩
새천년해안도로,3,93,2020.12.12.,mkmsnd,깨끗?
새천년해안도로,4,93,2020.10.28.,d89m7j,드라이브도.걷기도  좋을듯ᆢ
새천년해안도로,5,93,2020.07.14.,100rl4h,기가막힙니다. 꼭 가봐야 할 곳입니다. 
행남해안산책로,5,98,2021.06.27.,d9q1fh,아름다운 울릉도
행남해안산책로,5,98,2021.05.16.,n2rq0p,공사중이라서 조금밖에 못가요
행남해안산책로,4,98,2021.05.04.,1j80imr,2021년 5월 4일 방문 저동 입구 행남해안산책로 여전히 통제 중입니다!
행남해안산책로,3,98,2021.04.20.,1155lfb,
진주전통소싸움경기장,3,100,2019.12.01.,gil288,
학암포해수욕장,5,101,2021.07.26.,1bc1pmh,사장님 친절하시구  해수욕장두 너무 좋고 최고의 힐링이었어요
학암포해수욕장,1,101,2021.06.12.,10ivfcb,와...구례포해수욕장 사유지라고 구경도 제대로 못하고 학암포로왔더니... 여기 국립공원이라면서요? 주차장이 없어요?? 바닷가 근처는 다 사유지 캠핑장이예요? 태안 해수욕장들은 국립 떼야할것 같은데요. 국립야영장도 만들어 놓고 왜 주차장은 없어요? 유료든뭐든 만들어야 차를 주차하고 구경할텐데 아오빡쳐. 와서 주차장찾아 헤매기만하고
학암포해수욕장,5,101,2021.02.24.,fhulat,깔끔하고 한가해서 좋네요
학암포해수욕장,4,101,2020.10.10.,136aoeu,가보구싶네유
학암포해수욕장,5,101,2020.07.22.,16am5l3,
학암포해수욕장,5,101,2020.07.17.,9269am,서해에도 이렇게 예쁜 바다가?
학암포해수욕장,5,101,2019.08.03.,n38j00,"Great spot. Fishing, camping or lounging can be done. you can also find some empty spots on weekends."
한가라지리조트,1,102,2020.07.20.,aodcq5,good ~~~~~
한가라지리조트,5,102,2020.04.30.,184s2n6,멀어서 고생했지만.ㅠ.ㅠ 가족들이 넘 즐거워해서 대만족합니다. 아이들에게는 좋은 추억 장소네요.
한가라지리조트,5,102,2018.04.29.,mr4utj,"장소,풍경,시설에 비해  가격이 저렴하고 오르락내리락 귀찮을법도 한데 짜증한번없이 친절하십니다. 산책하기 좋은 솔밭길들, 바다로 이어진 길들, 족구장 바베큐장 공작색농장 잼나게 잘 놀았습니다. 아버님 팔순에행에 가족 모두 만족하며 즐거웠습니다. 입구에  있는 한가라지 카페 커피 맛있답니다."
산청한방테마공원,3,103,2021.05.23.,1291nbc,
화암추항로표지관리소,5,105,2019.12.07.,93ouda,의자도있고 여름에시원하고 겨울에다뜻
화암추항로표지관리소,3,105,2018.05.19.,dl1mfo,
후포등대,5,106,2019.02.05.,eihiqb,
후포등대,4,106,2018.07.18.,109evmd,
해금강,5,108,2021.09.07.,f765co,코박죽
해금강,5,108,2021.08.22.,o4odmu,한국경치가 아님 이건 ㅎㅎ 아주 웅장하고 아름다움
해금강,5,108,2020.04.22.,12gi6ue,
해금강,5,108,2019.11.24.,o32059,눈부시게 아름다운 풍경♡♡
해금강,4,108,2019.02.27.,e9e5k4,
해금강,5,108,2018.12.09.,100ru3c,아름답다는 말밖에
해금강,5,108,2018.07.31.,10k323i,
해금강,5,108,2018.06.26.,7kflrq,최고의 절경
해금강,4,108,2017.12.25.,10k2j6v,예쁜 바다와 절경. 유람선 필
해금강,5,108,2017.09.24.,10l7t13,
해금강,4,108,2017.09.07.,101enmo,날씨 좋아야 탈수 있는 해금강 유람선
해금강,4,108,2017.06.26.,10cgb7r,ℹ 1971년 명승 제 2호로 지정.  ℹ 거제도 남동쪽에 불쑥 튀어나온 갈곶이 있는데 그 끝에서 떨어져 나간 한 덩어리의 돌섬이 해금강이다.  ✌ 배를 타고 나가 자연의 신비로움을 느낄 수 있는 해금강의 비경을 볼 수 있다.  ✌ 큰 바위 몸체는 한 덩어리로 보이지만 바닷속에서 넷으로 갈라져 4개의 절벽 사이로 십자형 벽간수로가 뚫려 있어 배가 들나들며 ...
해금강,4,108,2016.11.30.,11j95hn,
해금강,4,108,2016.09.19.,7k858v,
해금강,3,108,2016.09.17.,a5tlqh,해금강
해금강,3,108,2016.03.13.,7l477d,
해금강,5,108,2016.03.11.,7killg,바다의 금강.  십자바위가 기억난다.
해제반도,3,109,2021.08.03.,7olrtl,
대호방조제,3,110,2020.06.28.,tl2slb,
대호방조제,1,110,2020.04.01.,vl9p4m,
수로부인헌화공원 독도전망대,1,111,2021.01.04.,uuanhc,"섬뜩하고, 부조화로운 최악의 공원~~~"
동백정,5,112,2021.08.01.,1dk4pgr,좋아요
동백정,1,112,2020.03.15.,7pga71,코로나19로 2020년 3월 14일 현재 당분간 입장 불가라고 합니다.
동백정,5,112,2019.12.24.,151tg7s,"서해안의 장점인 환상적인 일몰과 일출을 유일하게 한번에 볼수 있는곳으로써  너무 멋있는 곳인것 같아요... 연말행사에 좀 복잡하긴 하지만 생각보다 그렇게 차가 많이 밀리지는 않고, 동네에 있는 주차장이 워낙 넓어서리 좋으네요.. 굿~~다시한번더 가보고 싶은곳이에요.."
동백정,5,112,2019.11.15.,130s20o,멋져요      
동백정,2,112,2019.06.09.,a26mqp,
동백정,4,112,2019.03.25.,7kmtjf,1
목포구등대,5,114,2019.04.19.,vpqvbh,사진이 마음에 듭니다
목포구등대,4,114,2018.09.01.,mqrhsv,
가천해변,5,115,2020.02.16.,7kmtjf,뷰포인트 도로옆 뫼 312-4
가천해변,5,115,2019.10.08.,9u89mq,
강동화암주상절리,3,116,2021.01.20.,fk34hu,
강동화암주상절리,1,116,2019.09.14.,h74pm8,너무 초라해요
강동화암주상절리,4,116,2019.02.01.,aijpe9,
강동화암주상절리,3,116,2016.03.13.,7l477d,
겸면목화공원,5,119,2020.04.30.,184ftd9,한적하고 좋아요
고군산군도,5,120,2021.09.10.,1cuhv6k,
고군산군도,5,120,2021.06.05.,136p4pp,섬 하나하나가 너무 이쁨
고군산군도,1,120,2021.03.20.,1gq7laq,최고예요 
고군산군도,5,120,2021.02.28.,v824b8,섬 안에서의 풍경보다는 가는 길이 남해바다 느낌도 나는 것 같고 드라이브코스로 아주 좋음
고군산군도,5,120,2020.12.13.,rq5tee,조용한 시골 항구모습이 좋음
고군산군도,5,120,2020.11.02.,n055ri,
고군산군도,5,120,2020.10.05.,18tg0n6,
고군산군도,5,120,2020.09.15.,ahr1ms,
고군산군도,5,120,2020.08.12.,18b8ikr,
고군산군도,5,120,2020.05.31.,uq72cv,좋습니다 
고군산군도,5,120,2020.05.03.,vvedkr,"절경 낚시, 자전거, 갯벌체험하기 좋은듯 99번 버스(시내버슨데 2층관광버스 같음) 굿 길 막히면 99번 제때 안 옴(1시간 이상도 밀림) 고군산투어버스 좋은데 시간 안내(지연 시)나 홍보 좀 잘 했으면 좋겠음"
고군산군도,3,120,2019.02.22.,e9e5k4,
한류월드,1,121,2021.01.27.,171g1hh,별로예요 
한류월드,1,121,2019.08.22.,ng55n0,허허벌판
한류월드,5,121,2018.05.19.,mv2gi7,     ㅐ
구례산수유마을,5,124,2021.06.05.,7nbsrf,
구례산수유마을,5,124,2021.04.14.,bpe4hf,
구례산수유마을,5,124,2021.04.04.,1i781fp,
구례산수유마을,4,124,2021.03.24.,7l5db8,2021. 3. 22. 오기 딱좋음
구례산수유마을,3,124,2021.03.21.,7kt00d,산수유 지고있음 볼건 별로 없고 시골 마을 걷는 재미?
구례산수유마을,4,124,2021.03.20.,1fi3i2o,
구례산수유마을,4,124,2021.03.14.,1fj333v,
구례산수유마을,4,124,2021.02.28.,11c9eiu,"2월 27일 기준 산수유가 거의 안피었어요ㅠㅠ 꽃 말고는 볼 게 딱히 없어서 구경 좀 하다 떠났습니당,,"
구례산수유마을,4,124,2018.03.13.,7mobo2,좋아요 ~~~
구례산수유마을,4,124,2016.06.19.,110qp6d,봄이면 온 마을이 산수유로 뒤덮이는 아름다운 구례 산수유마을. 마을마다 조금씩 다른 풍경을 품고 있어 걷는 재미가 남다르다.
구례산수유마을,4,124,2016.03.25.,10hvf0i,"이쁘다 산수유꽃 10월 중순, 11월 말까지 수확.."
구례산수유마을,3,124,2016.03.13.,7l477d,
무주구천동관광특구,5,125,2020.08.29.,gke7ee,관광단지라 좋아요 군것질거리도 많고 관광 좋아요ㅋㅋ
무주구천동관광특구,5,125,2020.04.17.,7kmtjf,주차장입구쪽 무주구천동비석 설천봉(곤도라)~>향적봉~>중봉~>구천동계곡~>백련사~>라제통문(25km무주구천동구곡지류)
금강산랜드,4,127,2020.03.07.,fmmjf3,
금강산랜드,5,127,2019.08.01.,1042bsg,
금강하구둑관광지,3,128,2018.05.09.,ee6c0d,
급치산전망대,4,130,2021.07.25.,8rek61,
급치산전망대,5,130,2020.12.16.,951blb,추워요
급치산전망대,4,130,2018.11.14.,kae20d,
급치산전망대,3,130,2017.08.12.,10mibck,
지례예술촌,4,134,2021.06.06.,8tgdje,화장실 떨어진거 빼고 좋았습니다.
지례예술촌,1,134,2021.02.23.,7nucih,별루
지례예술촌,5,134,2020.11.17.,7l3efi,최고입니다. 사장님 인품 좋고 고택과 관련된 여러가지 스토리 들려달라고 하세요. 사모님의 아침도 안동식으로 좋습니다. 악플러들은 매너 좀 지키시길. 고택체험으로 숙박이 오픈되어 있지만 엄연히 이분들의 집입니다. 불쑥 남에 집에 들어가 화장실 사용하거나 허락 없이 구경하러 들어갑니까?
지례예술촌,5,134,2020.09.13.,lbl86t,
지례예술촌,5,134,2020.09.07.,o8hujf,아래 두 분 진짜 웃기시네 ㅋㅋㅋ 멀쩡한 남의 집에 가서 화장실 쓰게 해달라한건데 안될 수도 있지 싸가지가 있네마네 웃기시네 더구나 방역 철저히 해야하는 이런 시국에는 서로 이해좀 해야지 ㅉㅉ
지례예술촌,1,134,2020.09.03.,tcn2eo,하이고 화장실이용을 거부하면 어디 마을 으슥한곳에 실례해야하나요? 정말 예술촌 인심한번 고약타
지례예술촌,1,134,2020.08.16.,90p72o,아무리 코로나로 난리이지만  조심스럽게 완전무장하고 잠시 들려가려 들려 갑자기 볼일이 보고싶어 안된다고 하지만 급한일인데 그것도 안된다고 ..완전 ㅆ. ㄱ.지.  이런걸   뭘 보겠다고 왔는지 
지례예술촌,5,134,2020.06.22.,12pvbs3,부모님 모시고 또 오고 싶은데... 예약하려면 노력좀 해야 겠네요 ㅠ 
지례예술촌,3,134,2019.02.06.,10k2j6v,Hanok Stay
지례예술촌,5,134,2016.03.11.,apamt8,고택스테이
외고산옹기마을,5,138,2021.08.29.,1mnhiju,온산 대성 박규철은 듣거라 . 개. 굿
외고산옹기마을,5,138,2021.03.22.,7nnvfc,
외고산옹기마을,4,138,2016.07.12.,7l477d,
용문산관광지,4,139,2021.09.11.,113ha7k,
용문산관광지,5,139,2021.09.04.,1h67fnp,최고예요 : )
용문산관광지,3,139,2021.04.20.,cdrm0o,
용문산관광지,5,139,2021.02.01.,o4ohrq,산림청 100명산인 용문산과 천년고찰용문사가 있어 등산과 산사체험을 할 수 있는곳. 또한 용문산 관광단지에는 다양한 먹거리가 있어 입이 즐거운 여행이 될수 있고 경의 중앙선이 용문역까지 연결되어 접근성  용이
용문산관광지,5,139,2020.10.06.,at0url,높고 청량한 가을 하늘 아래 단풍을 기다리고 있는 푸르른 나무들과 숲이 우리 모두를 반겨주는 이곳 용문산
용문산관광지,5,139,2020.09.01.,1bhvd2d,
용문산관광지,5,139,2020.08.10.,14nfhe6,
용문산관광지,3,139,2020.07.02.,bi1lvk,주차비 3000원 / 사찰 관람료 2500원 주차비 받는건 괜찮은데.... 사찰 관람료는 사찰 들어가는 사람들에게만 사찰 입구에서 받았으면....
용문산관광지,4,139,2020.06.13.,kv57j5,"용문사&은행나무까지 가볍게 산책하기에도 좋고, 주차하기 수월하고 입구에서 가까움(주차비3,000)"
용문산관광지,4,139,2017.07.23.,101enmo,용문사 1100년 넘은 은행나무 42m ..
용문산관광지,3,139,2016.03.13.,voa1lv,20160313
몽골문화촌,2,140,2020.07.19.,8srr7s,여기 주차장 카페 가시려면 커피 받는데 30~40분 이상 각오하시고 가시길...와...드립 커피뿐이고 내려주시는데 세상 속터지는 줄...
몽골문화촌,2,140,2020.06.28.,10hpeee,공연은  작년에  없어진걸로 아는데  전시장만  개장 적자로인해  공연이  없어졌다는데 아쉬운  마음이네요
몽골문화촌,5,140,2018.11.10.,r5p8jp,너무좋아요~~♡
몽골문화촌,4,140,2018.04.24.,kv1seq,
몽골문화촌,5,140,2017.10.05.,7k86n9,마상공연 볼만해요~
몽골문화촌,3,140,2016.09.17.,a5tlqh,
물건방조어부림,4,141,2021.07.31.,1a6n3jj,숙소도 정하지 않은채 떠난 남해 여행. 독일마을 아래 해변 가까운곳에서 하룻밤 거하고자 뚜벅뚜벅 골목을 걷다가 텅빈듯 한 마당넓은 팬션 하나 찜. 다음날 아침 예비지식 하나없이 할랑하게 골목산책하러 나선 길에서  만난  산책로. 물건리 방조림. 아름드리 나무가 바다의 풍부한 수분을 머금어 건강하고 싱그런 향으로 감싸안는 아주 편안한 느낌. 다음여행 에도 물...
물건방조어부림,5,141,2021.07.01.,100rl4h,아름다운 곳이네요. 
물건방조어부림,5,141,2021.06.10.,8ohind,"산책 할 수 있도록 데크가 깔려 있는데, 촘촘한 나무 사이로 햇살 들어오고 너무 좋아요. 고요하구요. 고개만 돌리면 바다가 보이고 독일마을 보다 훨 좋네요"
물건방조어부림,4,141,2021.02.13.,16e76h1,고즈넉하고 잠깐 들르기에 너무 아름다운 곳이었어요 크게 뭐 없어도 보고갈만 합니다!  대신 다시 돌아갈땐 오르막길;; 
물건방조어부림,5,141,2020.12.14.,n1pa10,예로부터 마을을 지켜주던 신령스러운 숲
물건방조어부림,4,141,2016.11.28.,11j95hn,남해10경 물건방조어부림 마을의 피해를 줄이고자 만든 자연 숲 산림욕을 즐길수 있음
영광백수해안도로,5,144,2021.08.31.,,드라이브
영광백수해안도로,4,144,2021.08.16.,t4nj7k,석양명소
영광백수해안도로,5,144,2021.06.22.,1jf8h1p,
영광백수해안도로,2,144,2021.02.15.,lo827e,그냥 갈만한 드라이브길 정도? 이게 왜 100선에 뽑혔는지 뭔로비가들어간건지 전수조사들어가야된다
영광백수해안도로,5,144,2021.01.04.,v6a12s,아름다움
영광백수해안도로,5,144,2020.12.13.,7kmtjf,칠산정 뷰 쵝오  CC무인텔
영광백수해안도로,5,144,2020.11.01.,u6lcjg,제가 호남고속도로 지선 타고 혼자 운전해서 어머니랑 같이 힐링 코스 로 한번 간 곳 경치 가 멎지 더라고요
영광백수해안도로,5,144,2020.10.24.,1d1rhan,
