areacode,cat1,cat2,cat3,contentid,contenttypeid,mapx,mapy,readcount,title,addr1,code
32,A01,A0101,A01010600,125266,12,128.2919115,37.52251412,92300,국립 청태산자연휴양림,강원도 횡성군 둔내면 청태산로 610,32320
35,A01,A0101,A01010600,125405,12,129.3655037,35.7619577,142970,토함산자연휴양림,경상북도 경주시 양북면 불국로 1208-45,37020
4,A01,A0101,A01010600,125406,12,128.5159774,35.69138039,168397,비슬산자연휴양림,대구광역시 달성군 유가읍 일연선사길 61,22310
35,A01,A0101,A01010600,125407,12,128.1342659,36.61882624,130206,불정자연휴양림,경상북도 문경시 불정길 180,37090
35,A01,A0101,A01010600,125408,12,129.0537206,36.31791942,86622,청송 자연휴양림 퇴적암층 (청송 국가지질공원),경상북도 청송군 부남면 청송로 3478-96,37330
31,A01,A0101,A01010600,125409,12,127.4912014,37.59336321,302449,국립 유명산자연휴양림,경기도 가평군 설악면 유명산길 79-53,31370
35,A01,A0101,A01010600,125410,12,128.9956518,37.03918876,57713,국립 청옥산자연휴양림,경상북도 봉화군 석포면 청옥로 1552-163,37410
36,A01,A0101,A01010600,125411,12,127.797898,35.73148789,80129,금원산자연휴양림,경상남도 거창군 위천면 금원산길 412,38390
32,A01,A0101,A01010600,125412,12,128.3131052,38.21823377,61058,국립 용대자연휴양림,강원도 인제군 북면 용대리 연화동길,32390
32,A01,A0101,A01010600,125413,12,128.5700394,37.42684713,83968,국립 가리왕산자연휴양림,강원도 정선군 정선읍 가리왕산로 707,32350
37,A01,A0101,A01010600,125414,12,127.2333675,35.51825771,49558,세심자연휴양림,전라북도 임실군 삼계면 임삼로 485,35350
37,A01,A0101,A01010700,125415,12,127.3047575,35.97367388,67689,대아수목원,전라북도 완주군 동상면 대아수목로 94-34,35310
37,A01,A0101,A01010600,125416,12,127.8148028,35.90814315,162228,국립 덕유산자연휴양림,전라북도 무주군 무풍면 구천동로 530-62,35330
32,A01,A0101,A01010600,125417,12,128.7815479,37.70927691,154197,국립 대관령자연휴양림,강원 강릉시 성산면 어흘리 삼포암길 133,32030
7,A01,A0101,A01010600,125418,12,129.0232319,35.52599451,111758,국립 신불산폭포자연휴양림,울산광역시 울주군 상북면 청수골길 175,26310
38,A01,A0101,A01010600,125419,12,126.8998852,34.54513393,73218,국립 천관산자연휴양림,전라남도 장흥군 관산읍 칠관로 842-1150,36380
32,A01,A0101,A01010600,125420,12,128.4608697,37.85213473,190514,국립 삼봉자연휴양림,강원도 홍천군 내면 삼봉휴양길 276,32310
38,A01,A0101,A01010600,125421,12,126.8323801,34.76804945,47088,유치자연휴양림,전라남도 장흥군 유치면 휴양림길 154,36380
34,A01,A0101,A01010600,125424,12,126.7119565,36.33858576,47365,만수산자연휴양림,충청남도 부여군 외산면 휴양로 107,34330
38,A01,A0101,A01010600,125425,12,126.983899,34.69852091,89149,제암산자연휴양림,전라남도 보성군 웅치면 대산길 330,36360
34,A01,A0101,A01010600,125427,12,126.664575,36.63748116,46839,용봉산자연휴양림,충청남도 홍성군 홍북읍 용봉산2길 87,34360
34,A01,A0101,A01010600,125428,12,126.8438227,36.43161349,68151,칠갑산자연휴양림,충청남도 청양군 대치면 칠갑산로 668-103,34350
3,A01,A0101,A01010600,125429,12,127.4545992,36.20214492,126815,만인산푸른학습원,대전광역시 동구 산내로 106,25010
35,A01,A0101,A01010600,125430,12,129.191768,36.93371296,67303,국립 통고산자연휴양림,경상북도 울진군 금강송면 불영계곡로 880,37420
34,A01,A0101,A01010600,125431,12,127.3768905,36.05938483,139227,남이자연휴양림,충청남도 금산군 남이면 느티골길 200,34310
33,A01,A0101,A01010600,125432,12,128.0470598,36.81160532,60278,조령산자연휴양림,충청북도 괴산군 연풍면 새재로 1795,33360
31,A02,A0203,A02030500,125433,12,127.350514,37.1122469,22119,황새울관광농원,경기도 용인시 처인구 백암면 황새울로 242,31190
31,A02,A0203,A02030500,125434,12,127.5161085,37.26828187,21505,청암관광농원,경기도 이천시 부발읍 황무로1720번길 74,31210
34,A02,A0203,A02030500,125437,12,126.591772,36.36981622,21100,상양관광농원,충청남도 보령시 주교면 문화마을길 178-58,34030
38,A02,A0203,A02030500,125442,12,127.0038773,34.72147978,31191,웅치관광농원,전라남도 보성군 웅치면 서동길 227,36360
35,A02,A0203,A02030500,125443,12,127.8990596,36.60024906,21593,청화산농원,경상북도 상주시 화북면 문장로 2199-11,37080
39,A01,A0101,A01010700,125445,12,126.2551754,33.32540095,37476,생각하는 정원,제주특별자치도 제주시 한경면 녹차분재로 675,39010
37,A02,A0203,A02030500,125447,12,126.5436323,35.37614542,46818,보리나라 학원농장,전라북도 고창군 공음면 학원농장길 158-6,35370
34,A01,A0101,A01010600,125448,12,126.3588397,36.49674766,151733,안면도자연휴양림,충청남도 태안군 안면읍 안면대로 3195-6,34380
31,A01,A0101,A01010200,125449,12,127.188385,37.47666846,175442,남한산성도립공원 ,경기도 광주시 남한산성면 남한산성로 731,31250
31,A01,A0101,A01010400,125450,12,126.9520636,37.91214408,67207,감악산(파주),경기도 파주시 적성면 감골길 48,31200
31,A01,A0101,A01010400,125451,12,127.393593,37.42112029,26676,앵자봉,경기도 광주시 퇴촌면 천진암로 1203-1,31250
